สัญลักษณ์,ชื่อบริษัท,วันปิดสมุดทะเบียน,อันดับ,ชื่อผู้ถือหุ้น,จำนวนหุ้น,ร้อยละ (%)
ADVANC,แอดวานซ์ อินโฟร์ เซอร์วิส,2026-03-02,1,บริษัท กัลฟ์ ดีเวลลอปเมนท์ จำกัด (มหาชน),1202712000,40.44
ADVANC,แอดวานซ์ อินโฟร์ เซอร์วิส,2026-03-02,2,SINGTEL STRATEGIC INVESTMENTS PTE LTD.,568000000,19.1
ADVANC,แอดวานซ์ อินโฟร์ เซอร์วิส,2026-03-02,3,บริษัท ไทยเอ็นวีดีอาร์ จำกัด,226881375,7.63
ADVANC,แอดวานซ์ อินโฟร์ เซอร์วิส,2026-03-02,4,RAFFLE NOMINEES (PTE) LTD S/A SINGTEL STRATEGIC INVESTMENTS PTE LTD.,168492744,5.67
ADVANC,แอดวานซ์ อินโฟร์ เซอร์วิส,2026-03-02,5,กองทุนรวม วายุภักษ์หนึ่ง,88383700,2.97
AOT,ท่าอากาศยานไทย,2025-12-12,1,กระทรวงการคลัง,10000000000,70
AOT,ท่าอากาศยานไทย,2025-12-12,2,บริษัท ไทยเอ็นวีดีอาร์ จำกัด,468872380,3.28
AOT,ท่าอากาศยานไทย,2025-12-12,3,กองทุนรวม วายุภักษ์หนึ่ง,345959000,2.42
AOT,ท่าอากาศยานไทย,2025-12-12,4,สำนักงานประกันสังคม,195775520,1.37
AOT,ท่าอากาศยานไทย,2025-12-12,5,SOUTH EAST ASIA UK (TYPE C) NOMINEES LIMITED,171637725,1.2
AWC,แอสเสท เวิรด์ คอร์ป,2026-05-08,1,บริษัท ทีซีซี บริหารธุรกิจ จำกัด,14400000000,44.96
AWC,แอสเสท เวิรด์ คอร์ป,2026-05-08,2,บริษัท ทีซีซี รีเทล จำกัด,9600000000,29.98
AWC,แอสเสท เวิรด์ คอร์ป,2026-05-08,3,NOMURA SINGAPORE LIMITED-CUSTOMER SEGREGATED ACCOUNT,1430000000,4.47
AWC,แอสเสท เวิรด์ คอร์ป,2026-05-08,4,UBS AG SINGAPORE BRANCH - FOR CLIENTS' ACCOUNTS,691391201,2.16
AWC,แอสเสท เวิรด์ คอร์ป,2026-05-08,5,กองทุนรวม วายุภักษ์หนึ่ง,612369400,1.91
BANPU,บ้านปู,2026-04-17,1,บริษัท น้ำตาลมิตรผล จำกัด,827908786,8.26
BANPU,บ้านปู,2026-04-17,2,บริษัท ไทยเอ็นวีดีอาร์ จำกัด,810414140,8.09
BANPU,บ้านปู,2026-04-17,3,SOUTH EAST ASIA UK (TYPE C) NOMINEES LIMITED,283633569,2.83
BANPU,บ้านปู,2026-04-17,4,นาย ประทีป ตั้งมติธรรม,184268998,1.84
BANPU,บ้านปู,2026-04-17,5,บริษัท ทุนมิตรสยาม จำกัด,172906811,1.73
BBL,ธนาคารกรุงเทพ,2026-04-23,1,บริษัท ไทยเอ็นวีดีอาร์ จำกัด,446289133,23.38
BBL,ธนาคารกรุงเทพ,2026-04-23,2,บริษัท ซิตี้เรียลตี้ จำกัด,89645900,4.7
BBL,ธนาคารกรุงเทพ,2026-04-23,3,สำนักงานประกันสังคม,76353394,4
BBL,ธนาคารกรุงเทพ,2026-04-23,4,STATE STREET EUROPE LIMITED,52133499,2.73
BBL,ธนาคารกรุงเทพ,2026-04-23,5,STATE STREET BANK AND TRUST COMPANY,47874374,2.51
BDMS,กรุงเทพดุสิตเวชการ,2026-03-11,1,บริษัท ไทยเอ็นวีดีอาร์ จำกัด,1540861735,9.7
BDMS,กรุงเทพดุสิตเวชการ,2026-03-11,2,นาย ปราเสริฐ ปราสาททองโอสถ,1458941440,9.18
BDMS,กรุงเทพดุสิตเวชการ,2026-03-11,3,น.ส. ปรมาภรณ์ ปราสาททองโอสถ,939537410,5.91
BDMS,กรุงเทพดุสิตเวชการ,2026-03-11,4,บริษัท วิริยะประกันภัย จำกัด (มหาชน),678201330,4.27
BDMS,กรุงเทพดุสิตเวชการ,2026-03-11,5,SOUTH EAST ASIA UK (TYPE C) NOMINEES LIMITED,601019734,3.78
BEM,ทางด่วนและรถไฟฟ้ากรุงเทพ,2026-03-11,1,บริษัท ช.การช่าง จำกัด (มหาชน),6459449984,42.26
BEM,ทางด่วนและรถไฟฟ้ากรุงเทพ,2026-03-11,2,การรถไฟฟ้าขนส่งมวลชนแห่งประเทศไทย,1256259584,8.22
BEM,ทางด่วนและรถไฟฟ้ากรุงเทพ,2026-03-11,3,ธนาคาร กรุงไทย จำกัด (มหาชน),815356075,5.33
BEM,ทางด่วนและรถไฟฟ้ากรุงเทพ,2026-03-11,4,บริษัท ไทยเอ็นวีดีอาร์ จำกัด,483077555,3.16
BEM,ทางด่วนและรถไฟฟ้ากรุงเทพ,2026-03-11,5,สำนักงานประกันสังคม,465669067,3.05
BH,โรงพยาบาลบำรุงราษฎร์,2026-03-18,1,บริษัท ไทยเอ็นวีดีอาร์ จำกัด,84492505,10.63
BH,โรงพยาบาลบำรุงราษฎร์,2026-03-18,2,บริษัท กรุงเทพประกันภัย จำกัด (มหาชน),79149817,9.96
BH,โรงพยาบาลบำรุงราษฎร์,2026-03-18,3,UOB KAY HIAN (HONG KONG) LIMITED - Client Account,61886905,7.78
BH,โรงพยาบาลบำรุงราษฎร์,2026-03-18,4,ธนาคาร กรุงเทพ จำกัด (มหาชน),53243344,6.7
BH,โรงพยาบาลบำรุงราษฎร์,2026-03-18,5,SOUTH EAST ASIA UK (TYPE C) NOMINEES LIMITED,28291113,3.56
BJC,เบอร์ลี่ ยุคเกอร์,2026-04-30,1,บริษัท ทีซีซี คอร์ปอเรชั่น จำกัด,1830730550,45.68
BJC,เบอร์ลี่ ยุคเกอร์,2026-04-30,2,บริษัท ทีซีซี โฮลดิ้งส์ (2519) จำกัด,1175089800,29.32
BJC,เบอร์ลี่ ยุคเกอร์,2026-04-30,3,สำนักงานประกันสังคม,164191200,4.1
BJC,เบอร์ลี่ ยุคเกอร์,2026-04-30,4,RAFFLES NOMINEES (PTE) LIMITED,157094900,3.92
BJC,เบอร์ลี่ ยุคเกอร์,2026-04-30,5,THE BANK OF NEW YORK (NOMINEES) LIMITED,103375800,2.58
BTS,บีทีเอส กรุ๊ป โฮลดิ้งส์,2025-06-19,1,นาย คีรี กาญจนพาสน์,5107061418,31.73
BTS,บีทีเอส กรุ๊ป โฮลดิ้งส์,2025-06-19,2,นาย กวิน กาญจนพาสน์,1797135829,11.17
BTS,บีทีเอส กรุ๊ป โฮลดิ้งส์,2025-06-19,3,บริษัท ไทยเอ็นวีดีอาร์ จำกัด,885248667,5.5
BTS,บีทีเอส กรุ๊ป โฮลดิ้งส์,2025-06-19,4,ธนาคาร กรุงเทพ จำกัด (มหาชน),721528129,4.48
BTS,บีทีเอส กรุ๊ป โฮลดิ้งส์,2025-06-19,5,CITIBANK NOMINEES SINGAPORE PTE LTD-A/C GIC C,513958000,3.19
CBG,คาราบาวกรุ๊ป,2026-03-06,1,บริษัท เสถียรธรรมโฮลดิ้ง จำกัด,250064500,25.01
CBG,คาราบาวกรุ๊ป,2026-03-06,2,น.ส. ณัฐชไม ถนอมบูรณ์เจริญ,210000000,21
CBG,คาราบาวกรุ๊ป,2026-03-06,3,นาย ยืนยง โอภากุล,70480000,7.05
CBG,คาราบาวกรุ๊ป,2026-03-06,4,UBS AG SINGAPORE BRANCH - FOR CLIENTS' ACCOUNTS,45854499,4.59
CBG,คาราบาวกรุ๊ป,2026-03-06,5,บริษัท ไทยเอ็นวีดีอาร์ จำกัด,31555871,3.16
CCET,แคล-คอมพ์ อีเล็คโทรนิคส์,2026-03-20,1,KINPO ELECTRONICS. INC.,5223956415,49.99
CCET,แคล-คอมพ์ อีเล็คโทรนิคส์,2026-03-20,2,FAR EASTERN INTERNATIONAL BANK,1655366936,15.84
CCET,แคล-คอมพ์ อีเล็คโทรนิคส์,2026-03-20,3,KGI ASIA LIMITED,1577667766,15.1
CCET,แคล-คอมพ์ อีเล็คโทรนิคส์,2026-03-20,4,นาย วิทิต พงศ์พิโรดม,244250200,2.34
CCET,แคล-คอมพ์ อีเล็คโทรนิคส์,2026-03-20,5,บริษัท ไทยเอ็นวีดีอาร์ จำกัด,169441810,1.62
CENTEL,โรงแรมเซ็นทรัลพลาซา,2026-05-07,1,บริษัท เตียง จิราธิวัฒน์ จำกัด,67523190,5
CENTEL,โรงแรมเซ็นทรัลพลาซา,2026-05-07,2,UBS AG SINGAPORE BRANCH - FOR CLIENTS' ACCOUNTS,51225613,3.79
CENTEL,โรงแรมเซ็นทรัลพลาซา,2026-05-07,3,นาย นิติ โอสถานุเคราะห์,41314611,3.06
CENTEL,โรงแรมเซ็นทรัลพลาซา,2026-05-07,4,บริษัท ไทยเอ็นวีดีอาร์ จำกัด,34637578,2.57
CENTEL,โรงแรมเซ็นทรัลพลาซา,2026-05-07,5,นาย สุทธิเกียรติ จิราธิวัฒน์,31170141,2.31
COM7,คอมเซเว่น,2026-03-11,1,นาย สุระ คณิตทวีกุล,601310600,25.18
COM7,คอมเซเว่น,2026-03-11,2,นาย พงศ์ศักดิ์ ธรรมธัชอารี,476267000,19.95
COM7,คอมเซเว่น,2026-03-11,3,บริษัท ไทยเอ็นวีดีอาร์ จำกัด,219675829,9.2
COM7,คอมเซเว่น,2026-03-11,4,THE BANK OF NEW YORK MELLON,103980300,4.35
COM7,คอมเซเว่น,2026-03-11,5,น.ส. อารี ปรีชานุกูล,71200000,2.98
CPALL,ซีพี ออลล์,2026-05-05,1,บริษัท ซี.พี.เมอร์แชนไดซิ่ง จำกัด,2732242300,30.42
CPALL,ซีพี ออลล์,2026-05-05,2,บริษัท ไทยเอ็นวีดีอาร์ จำกัด,868945745,9.67
CPALL,ซีพี ออลล์,2026-05-05,3,SOUTH EAST ASIA UK (TYPE C) NOMINEES LIMITED,322463415,3.59
CPALL,ซีพี ออลล์,2026-05-05,4,สำนักงานประกันสังคม,308040067,3.43
CPALL,ซีพี ออลล์,2026-05-05,5,กองทุนรวม วายุภักษ์หนึ่ง,288362600,3.21
CPF,เจริญโภคภัณฑ์อาหาร,2026-05-06,1,บริษัท เครือเจริญโภคภัณฑ์ จำกัด,2105464925,25.04
CPF,เจริญโภคภัณฑ์อาหาร,2026-05-06,2,บริษัท ไทยเอ็นวีดีอาร์ จำกัด,867792045,10.32
CPF,เจริญโภคภัณฑ์อาหาร,2026-05-06,3,UBS AG LONDON BRANCH,772298991,9.19
CPF,เจริญโภคภัณฑ์อาหาร,2026-05-06,4,บริษัท เจริญโภคภัณฑ์โฮลดิ้ง จำกัด,743660460,8.85
CPF,เจริญโภคภัณฑ์อาหาร,2026-05-06,5,บริษัท เจริญโภคภัณฑ์อาหาร จำกัด (มหาชน),247584500,2.94
CPN,เซ็นทรัลพัฒนา,2026-03-10,1,บริษัท เซ็นทรัลโฮลดิ้ง จำกัด,1176343960,26.21
CPN,เซ็นทรัลพัฒนา,2026-03-10,2,บริษัท ไทยเอ็นวีดีอาร์ จำกัด,308440483,6.87
CPN,เซ็นทรัลพัฒนา,2026-03-10,3,กองทุนรวม วายุภักษ์หนึ่ง,156838600,3.49
CPN,เซ็นทรัลพัฒนา,2026-03-10,4,สำนักงานประกันสังคม,149387729,3.33
CPN,เซ็นทรัลพัฒนา,2026-03-10,5,นาย นิติ โอสถานุเคราะห์,107320000,2.39
CRC,เซ็นทรัล รีเทล คอร์ปอเรชั่น,2026-04-22,1,บริษัท ห้างเซ็นทรัล ดีพาทเมนท์สโตร์ จำกัด,2114284890,35.06
CRC,เซ็นทรัล รีเทล คอร์ปอเรชั่น,2026-04-22,2,Deutsche Bank AG Singapore PWM,277963444,4.61
CRC,เซ็นทรัล รีเทล คอร์ปอเรชั่น,2026-04-22,3,สำนักงานประกันสังคม,198024966,3.28
CRC,เซ็นทรัล รีเทล คอร์ปอเรชั่น,2026-04-22,4,กองทุนรวม วายุภักษ์หนึ่ง,167165900,2.77
CRC,เซ็นทรัล รีเทล คอร์ปอเรชั่น,2026-04-22,5,บริษัท ไทยเอ็นวีดีอาร์ จำกัด,105063858,1.74
DELTA,เดลต้า อีเลคโทรนิคส์,2026-02-27,1,DELTA ELECTRONICS INT'L (SINGAPORE) PTE. LTD.,5344793060,42.85
DELTA,เดลต้า อีเลคโทรนิคส์,2026-02-27,2,CITI (NOMINEES) LIMITED-CBHK-PBGSG-RESTRICTED SHARES,1728454200,13.86
DELTA,เดลต้า อีเลคโทรนิคส์,2026-02-27,3,DELTA INTERNATIONAL HOLDING LIMITED B.V.,1585260021,12.71
DELTA,เดลต้า อีเลคโทรนิคส์,2026-02-27,4,DELTA ELECTRONICS INC.,691281400,5.54
DELTA,เดลต้า อีเลคโทรนิคส์,2026-02-27,5,UBS AG HONG KONG BRANCH - FOR CLIENTS' ACCOUNTS,546350000,4.38
EGCO,ผลิตไฟฟ้า,2026-03-16,1,การไฟฟ้าฝ่ายผลิตแห่งประเทศไทย,133773662,25.41
EGCO,ผลิตไฟฟ้า,2026-03-16,2,TEPDIA Generating B.V.,118023606,22.42
EGCO,ผลิตไฟฟ้า,2026-03-16,3,สหกรณ์ ออมทรัพย์การไฟฟ้าฝ่ายผลิตแห่งประเทศไทย จำกัด,33334500,6.33
EGCO,ผลิตไฟฟ้า,2026-03-16,4,บริษัท ไทยเอ็นวีดีอาร์ จำกัด,26752144,5.08
EGCO,ผลิตไฟฟ้า,2026-03-16,5,สำนักงานประกันสังคม,24128600,4.58
GPSC,โกลบอล เพาเวอร์ ซินเนอร์ยี่,2026-02-26,1,บริษัท ปตท. จำกัด (มหาชน),1332955135,47.27
GPSC,โกลบอล เพาเวอร์ ซินเนอร์ยี่,2026-02-26,2,บริษัท พีทีที โกลบอล เคมิคอล จำกัด (มหาชน),281972937,10
GPSC,โกลบอล เพาเวอร์ ซินเนอร์ยี่,2026-02-26,3,บริษัท ไทยออยล์ จำกัด (มหาชน),281972937,10
GPSC,โกลบอล เพาเวอร์ ซินเนอร์ยี่,2026-02-26,4,บริษัท สยาม แมนเนจเม้นท์ โฮลดิ้ง จำกัด,224431735,7.96
GPSC,โกลบอล เพาเวอร์ ซินเนอร์ยี่,2026-02-26,5,กองทุนรวม วายุภักษ์หนึ่ง,81523800,2.89
GULF,กัลฟ์ ดีเวลลอปเมนท์,2026-03-04,1,นาย สารัชถ์ รัตนาวะดี,4374904693,29.28
GULF,กัลฟ์ ดีเวลลอปเมนท์,2026-03-04,2,UBS AG SINGAPORE BRANCH - FOR CLIENTS' ACCOUNTS,1511839012,10.12
GULF,กัลฟ์ ดีเวลลอปเมนท์,2026-03-04,3,GULF CAPITAL HOLDINGS LIMITED,1194942592,8
GULF,กัลฟ์ ดีเวลลอปเมนท์,2026-03-04,4,SINGTEL GLOBAL INVESTMENT PTE. LTD.,1155441235,7.73
GULF,กัลฟ์ ดีเวลลอปเมนท์,2026-03-04,5,บริษัท ไทยเอ็นวีดีอาร์ จำกัด,641207905,4.29
HMPRO,โฮม โปรดักส์ เซ็นเตอร์,2026-04-23,1,บริษัท แลนด์ แอนด์ เฮ้าส์ จำกัด (มหาชน),3975878432,30.23
HMPRO,โฮม โปรดักส์ เซ็นเตอร์,2026-04-23,2,บริษัท ควอลิตี้เฮ้าส์ จำกัด (มหาชน),2613023098,19.87
HMPRO,โฮม โปรดักส์ เซ็นเตอร์,2026-04-23,3,นาย นิติ โอสถานุเคราะห์,693564862,5.27
HMPRO,โฮม โปรดักส์ เซ็นเตอร์,2026-04-23,4,สำนักงานประกันสังคม,629548472,4.79
HMPRO,โฮม โปรดักส์ เซ็นเตอร์,2026-04-23,5,บริษัท ไทยเอ็นวีดีอาร์ จำกัด,491505750,3.74
IVL,อินโดรามา เวนเจอร์ส,2026-05-29,1,บริษัท อินโดรามา รีซอสเซส จำกัด,3688403618,65.69
IVL,อินโดรามา เวนเจอร์ส,2026-05-29,2,บริษัท ไทยเอ็นวีดีอาร์ จำกัด,328292662,5.85
IVL,อินโดรามา เวนเจอร์ส,2026-05-29,3,ธนาคาร กรุงเทพ จำกัด (มหาชน),270905264,4.83
IVL,อินโดรามา เวนเจอร์ส,2026-05-29,4,กองทุนรวม วายุภักษ์หนึ่ง,195808700,3.49
IVL,อินโดรามา เวนเจอร์ส,2026-05-29,5,สำนักงานประกันสังคม,94564840,1.68
KBANK,ธนาคารกสิกรไทย,2026-04-22,1,บริษัท ไทยเอ็นวีดีอาร์ จำกัด,302400438,12.76
KBANK,ธนาคารกสิกรไทย,2026-04-22,2,บริษัท กัลฟ์ ดีเวลลอปเมนท์ จำกัด (มหาชน),236805000,9.99
KBANK,ธนาคารกสิกรไทย,2026-04-22,3,STATE STREET EUROPE LIMITED,138568144,5.85
KBANK,ธนาคารกสิกรไทย,2026-04-22,4,SOUTH EAST ASIA UK (TYPE C) NOMINEES LIMITED,101684007,4.29
KBANK,ธนาคารกสิกรไทย,2026-04-22,5,STATE STREET BANK AND TRUST COMPANY,92451320,3.9
KKP,ธนาคารเกียรตินาคินภัทร,2026-04-30,1,บริษัท ไทยเอ็นวีดีอาร์ จำกัด,127201113,14.63
KKP,ธนาคารเกียรตินาคินภัทร,2026-04-30,2,บริษัท โชติธนวัฒน์ จำกัด,46318066,5.33
KKP,ธนาคารเกียรตินาคินภัทร,2026-04-30,3,บริษัท น้ำตาลตะวันออก จำกัด,40516393,4.66
KKP,ธนาคารเกียรตินาคินภัทร,2026-04-30,4,น.ส. ฐิตินันท์ วัธนเวคิน,35532761,4.09
KKP,ธนาคารเกียรตินาคินภัทร,2026-04-30,5,ธนาคาร เกียรตินาคินภัทร จำกัด (มหาชน),34896800,4.01
KTB,ธนาคารกรุงไทย,2026-04-16,1,กองทุน เพื่อการฟื้นฟูและพัฒนาระบบสถาบันการเงิน,7696248833,55.07
KTB,ธนาคารกรุงไทย,2026-04-16,2,บริษัท ไทยเอ็นวีดีอาร์ จำกัด,1139937572,8.16
KTB,ธนาคารกรุงไทย,2026-04-16,3,กองทุนรวม วายุภักษ์หนึ่ง,442009615,3.16
KTB,ธนาคารกรุงไทย,2026-04-16,4,STATE STREET EUROPE LIMITED,247722258,1.77
KTB,ธนาคารกรุงไทย,2026-04-16,5,SOUTH EAST ASIA UK (TYPE C) NOMINEES LIMITED,244131410,1.75
